r1bqkbnr/pp3ppp/2n5/3pP1B1/8/5N2/PPP2PPP/RN1QKB1R,b,6,f8e7,152,f6,152
rnbqkbnr/pp2pppp/2p5/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR,b,3,e7e6,44,Bf5,59
rn1qkbnr/pp2pppp/2p5/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR,w,4,c2c4,59,c4,54
rn1qkbnr/pp2pppp/2p5/3p1b2/2PP1B2/4P3/PP3PPP/RN1QKBNR,b,4,g8f6,54,Nf6,70
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP1B2/4P3/PP3PPP/RN1QKBNR,w,5,d1b3,70,Nc3,29
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP1B2/2N1P3/PP3PPP/R2QKBNR,b,5,d8b6,29,Nbd7,50
r2qkb1r/pp1npppp/2p2n2/3p1b2/2PP1B2/2N1P3/PP3PPP/R2QKBNR,w,6,g1f3,50,Nf3,62
r2qkb1r/pp1npppp/2p2n2/3p1b2/2PP1B2/2N1PN2/PP3PPP/R2QKB1R,b,6,e7e6,62,Nb6,122
rnbqkbnr/ppp2ppp/3p4/4P3/8/5N2/PPP1PPPP/RNBQKB1R,b,3,b8c6,169,d5,243
rnbqkbnr/ppp2ppp/8/3pP3/8/5N2/PPP1PPPP/RNBQKB1R,w,4,e2e4,243,Nc3,190
rnbqkbnr/ppp2ppp/8/3pP3/8/2N2N2/PPP1PPPP/R1BQKB1R,b,4,f8b4,190,c6,316
rnbqkbnr/pp3ppp/2p5/3pP3/8/2N2N2/PPP1PPPP/R1BQKB1R,w,5,e2e4,316,Bf4,186
rnbqkbnr/pp3ppp/2p5/3pP3/5B2/2N2N2/PPP1PPPP/R2QKB1R,b,5,f8b4,186,f6,478
rnbqkbnr/pp4pp/2p2p2/3pP3/5B2/2N2N2/PPP1PPPP/R2QKB1R,w,6,e2e4,478,e4,450
rnbqkbnr/pp4pp/2p2p2/3pP3/4PB2/2N2N2/PPP2PPP/R2QKB1R,b,6,f8b4,450,fxe5,520
rnbqkbnr/pp2pppp/2p5/3P4/8/3P4/PPP2PPP/RNBQKBNR,b,3,c6d5,-39,cxd5,-21
rnbqkbnr/pp2pppp/8/3p4/8/3P4/PPP2PPP/RNBQKBNR,w,4,d3d4,-21,Nc3,-57
rnbqkbnr/pp2pppp/8/3p4/8/2NP4/PPP2PPP/R1BQKBNR,b,4,b8c6,-57,e5,-12
rnbqkbnr/pp3ppp/8/3pp3/8/2NP4/PPP2PPP/R1BQKBNR,w,5,d3d4,-12,g3,-82
rnbqkbnr/pp3ppp/8/3pp3/8/2NP2P1/PPP2P1P/R1BQKBNR,b,5,b8c6,-82,Be6,-64
rn1qkbnr/pp3ppp/4b3/3pp3/8/2NP2P1/PPP2P1P/R1BQKBNR,w,6,f1g2,-64,Bg2,-78
rn1qkbnr/pp3ppp/4b3/3pp3/8/2NP2P1/PPP2PBP/R1BQK1NR,b,6,b8c6,-78,Be7,0
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR,b,3,d5e4,28,dxe4,38
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR,w,4,c3e4,38,Nxe4,39
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR,b,4,g8f6,39,Nd7,50
r1bqkbnr/pp1npppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR,w,5,e4g3,50,d5,15
r1bqkbnr/pp1npppp/2p5/3P4/4N3/8/PPP2PPP/R1BQKBNR,b,5,d8a5,15,cxd5,41
r1bqkbnr/pp1npppp/8/3p4/4N3/8/PPP2PPP/R1BQKBNR,w,6,d1d5,41,Qxd5,33
r1bqkbnr/pp1npppp/8/3Q4/4N3/8/PPP2PPP/R1B1KBNR,b,6,d8c7,33,e6,45
r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,b,3,c8g4,54,Nf6,48
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,w,4,e2e3,48,e3,33
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,b,4,f6h5,33,e6,69
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,w,5,c2c4,69,Bb5,21
r1bqkb1r/ppp2ppp/2n1pn2/1B1p4/3P1B2/4PN2/PPP2PPP/RN1QK2R,b,5,a7a6,21,Bd7,56
r2qkb1r/pppb1ppp/2n1pn2/1B1p4/3P1B2/4PN2/PPP2PPP/RN1QK2R,w,6,b1d2,56,Nc3,26
r2qkb1r/pppb1ppp/2n1pn2/1B1p4/3P1B2/2N1PN2/PPP2PPP/R2QK2R,b,6,f8d6,26,Bb4,43
r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,b,3,c8g4,54,e6,62
r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R,w,4,e2e3,62,e3,73
r1bqkbnr/ppp2ppp/2n1p3/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,b,4,f8d6,73,Bd6,62
r1bqk1nr/ppp2ppp/2nbp3/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R,w,5,f4g3,62,Bg3,55
r1bqk1nr/ppp2ppp/2nbp3/3p4/3P4/4PNB1/PPP2PPP/RN1QKB1R,b,5,g8f6,55,Nf6,73
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P4/4PNB1/PPP2PPP/RN1QKB1R,w,6,c2c4,73,Nbd2,41
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P4/4PNB1/PPPN1PPP/R2QKB1R,b,6,e8g8,41,Bd7,82
rn1qkbnr/ppp1pppp/8/3p4/3P2b1/5N2/PPPNPPPP/R1BQKB1R,b,3,g8f6,45,Bxf3,67
rn1qkbnr/ppp1pppp/8/3p4/3P4/5b2/PPPNPPPP/R1BQKB1R,w,4,d2f3,67,Nxf3,46
rn1qkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/R1BQKB1R,b,4,e7e6,46,e6,72
rn1qkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPP1PPPP/R1BQKB1R,w,5,g2g3,72,e3,41
rn1qkbnr/ppp2ppp/4p3/3p4/3P4/4PN2/PPP2PPP/R1BQKB1R,b,5,g8f6,41,h6,76
rn1qkbnr/ppp2pp1/4p2p/3p4/3P4/4PN2/PPP2PPP/R1BQKB1R,w,6,c2c4,76,Bd3,49
