fen_idx,fen,time,score_avg,elo_est,diff_max,diff_avg,depth_avg,nodes_avg,%_same_move
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,1.0,-1307.0,1925,35,8.0,19.0,1528729,100.0
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,3.0,-1330.0,2200,99,26.0,22.0,4731197,100.0
28,r4rk1/pb3ppp/8/2P5/4N3/8/P4PPP/b2K1B1R b -,20.0,-1423.0,2700,88,24.0,27.0,33015322,100.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,0.2,-1428.0,1550,135,28.0,14.0,333363,70.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,1.0,-1371.0,1850,127,42.0,18.0,1582674,100.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,3.0,-1364.0,2000,76,19.0,20.0,4637849,90.0
29,r4rk1/p4ppp/8/2P5/4b3/8/P4PPP/b2K1B1R w -,20.0,-1442.0,2500,84,17.0,25.0,33036172,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,0.2,999.0,1700,49,14.0,16,258446,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,1.0,1016.0,2100,33,7.0,21.0,1306726,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,3.0,1026.0,2400,42,9.0,24.0,3685224,100.0
30,3q1rk1/p1p1nppb/2p4p/1BN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 b -,20.0,1020.0,2900,27,8.0,32.0,23872510,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,0.2,1031.0,1850,20,6.0,18.0,252245,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,1.0,1029.0,2100,30,7.0,21.0,1135113,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,3.0,1023.0,2400,44,10.0,24.0,3490734,100.0
31,3q1rk1/p1p1nppb/7p/1pN1P3/5B2/1P6/P1P2PPP/R2Q1RK1 w -,20.0,1029.0,2875,28,8.0,31.0,23648849,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,0.2,248.0,1700,43,12.0,16.0,231380,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,1.0,265.0,2000,28,8.0,20.0,1049029,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,3.0,285.0,2300,42,7.0,23.0,2878145,100.0
32,r2qk2r/1ppb1ppp/4pn2/p3B3/2BP4/P1RQP3/1P3PPP/5RK1 b kq,20.0,284.0,2825,34,8.0,29.0,20136385,100.0
